crse_id,"subject","catalog_nbr","course_title_long","descrlong",units_minimum,units_maximum,crse_offer_nbr,term
4426,"SICP"," 157","Digital Science Illustration","Explore science illustration using Adobe Illustrator and Adobe Photoshop in conjunction with traditional techniques.  Current illustration styles and conventions will be covered including techniques making digital mediums and science accessible to everyone.  No prior digital art or science experience necessary.",3,3,1,2164
2544,"MPA"," 334","Survey of Electronic Music","Studies the materials and methodology of electronic music as a contemporary art form. Draws a historical survey of the literature and applications of electronic music and related theoretical issues from the fields of physics, acoustics, psycho acoustics, and digital audio, including the MIDI communication protocol. (Offered fall semester.)",2,2,1,2164
3732,"VPA"," 315","Life Drawing","Provides beginning and intermediate drawing skill development using media that focuses on the human figure. Students work from models to explore a range of techniques studying proportion, composition, light/shadow, anatomy, and use of color. Includes class critiques and student presentations.",4,4,1,2164
5414,"SOC"," 345","Wealth, Status and Power","This course utilizes historical and sociological perspectives to examine social stratification and inequality. It explores the unequal distribution of wealth, status and power and analyzes the cultural and economic systems that maintain them. (Credit/No Credit Available)

(Prereq: SOC 100 and STAT 100)",4,4,1,2164
4972,"BIO"," 461","Eukaryotic Molecular Biology","Advanced project-based lab and lecture course develops skills and understanding of current techniques in eukaryotic genetics and molecular biology. Six hours lab and two hours lecture per week.

[(Prereq: BIO 311) or (Coreq: BIO 311)]",4,4,1,2164
5400,"NURS"," 370","Palliative Care Across the Lifespan","Focus on care of a patient with a life-threatening illness across settings. Topics will include models of care, ethics, culture, communication, symptom management, grief, loss, and bereavement. (Department of Nursing consent required.)

(Prereq: NURS 300 and NURS 301 and NURS 302)",3,3,1,2164
291,"CHEM"," 210","Organic Chemistry for Biologists","Survey of organic compounds, with an emphasis on biological processes.  Nomenclature, structure in two and three dimensions, and reaction mechanisms are explored. Emphasizes structure and reactivity of common functional groups found in biomolecules, including carbohydrates and peptides.

[(Prereq: CHEM 111) and (Coreq: CHEM 210L)]",4,4,1,2164
2838,"SBS"," 366L","Research Methods for SBS: Quantitative Emphasis Lab","Research Methods for SBS: Quantitative Emphasis Lab - Students get hands-on practices on projects that they select, formulate the research question and hypotheses, collect the data (using survey, observation, interviews, databases, archival resources, and content analysis), and analyze data (using descriptive and inferential statistics). Students will learn how to use a valuable, powerful and marketable computer software, SPSS (Statistical Package for Social Science), to analyze small and large datasets, as well as presenting the findings in a professional manner.

(Coreq: SBS 366)",1,2,1,2164
2868,"SBS"," 453","Congress/Intrnshp/Bud/Appropri","Students are assigned to the office of a U.S. Representative who is a member of the California congressional delegation in Washington D.C. and spend a semester participating firsthand in American government. Participants examine government budgets, budgetary process and analysis, intergovernmental fiscal relations, and monetary and fiscal policy. Formerly known as SBSC 453.",4,4,1,2164
1932,"JAPN"," 205","Introduction to Japanese Culture & Civilization","This course introduces various aspects of Japanese culture, including history, geography, religion, government, politics, customs and traditions. Taught in English. (Credit/No Credit Available)",4,4,1,2164
2555,"MPA"," 350","Advanced Performing Band","Emphasizes the study, rehearsal, and preparation of professional level materials for performance for the large jazz ensemble. Includes classic pieces from historical jazz to contemporary developments in the jazz form. May include off-campus performances and performances at collegiate jazz festivals throughout California. May be repeated for credit. Students provide own instruments. (Offered spring semester.)",1,1,1,2164
1975,"KIN"," 123","Step Aerobics","An introduction to step aerobic exercise.  Additional cardiovascular training methods such as dance may also be included. The course also will teach students to monitor their progress throughout the semester. Credit/no credit.",1,1,1,2164
3594,"CART"," 395","Special Topics","Project based course developing and producing content in collaboration with other courses, the community, university, or others.  (Credit/ No Credit Available)

(Prereq: CART 200 or CART 237)",1,6,1,2164
949,"ENVS"," 201","Intro to Environmental Science","This interdisciplinary introduction to environmental science course introduces science as a method of studying and understanding the natural world through offering an overview of topics needed to understand key environmental challenges of today's world. Promotes critical thinking, problem solving, scientific and environmental literacy. For non-science majors and Environmental Studies majors.",4,4,1,2164
339,"CHHS"," 396S","Junior Field Practicum Seminar SL","Introduces new students in the CHHS major to the field practice process. Discussion includes the application of academic work and MLO competencies in field practice settings, self-reflection, the roles and responsibilities between the student and field mentor, and the relationships in a field practice setting. CHHS 396S is approved to meet the upper division service learning requirement.

[Prereq: (Junior or Senior Standing) and CHHS 300]",3,3,1,2164
5186,"ECSI"," 705","ESSENTIAL CLASSROOM TECHNOLOGY FOR TEACHERS","",3,3,1,2164
3767,"VPA"," 596","Field Studies","Student and faculty member select advanced topic of field study and number of credits. Contact the academic program office for instructor signature, registration code, and schedule number. (Offered only as interest warrants.)",1,6,1,2164
4084,"KIN"," 148","Running","Students learn and practice the training methods and techniques needed to develop cardiovascular fitness. Students develop a personal running training program. Credit/No Credit",1,1,1,2164
2702,"PSY"," 334","Sensation & Perception","Examination of how information about the outside world is sensed and how that information is organized and interpreted to form perceptions. Empirical and theoretical approaches to the psychology of perception with an emphasis on vision. Topics include psychophysical methods, basic physiology and function of sensory systems, perception of color and form, motion, distance, auditory patterns, body and limb position, temperature, pain, perceptual constancies, adaptation, and perceptual development.

[(Prereq: PSY 200) and (Coreq: PSY 334L)]",3,3,1,2164
495,"CST"," 303","Computers In Schools","Presents an overview of computer technology and its applications. Discusses processes to use computers effectively, creatively, and ethically in educational settings. Uses and evaluates software for teaching, learning, and managing classrooms in collaboration with the Monterey Bay Technology Education Center (MBTEC). This course meets liberal studies and teaching credential competencies. (Offered only as interest warrants.)",4,4,1,2164
1986,"KIN"," 149","Surfing","Covers surfing for beginners and first timers. Opportunities for advanced surfers to act as aids to the head instructor. Covers etiquette, right of way rules, equipment, and safety. Must be able to pass a swimming safety test. Includes extensive in-the-water experience. Requires some equipment. Surf boards will be supplied. Course fee required. Credit/ no credit.",1,1,1,2164
4146,"BIO"," 414","Molecular Cell Biology","Cell structure, membrane transport, cell division, molecular genetics, recombinant DNA, mechanisms of evolution, and the basis of classification. Applies fundamental principles and experimental approaches in four areas of cell biology: cell cycle regulation, signal transduction, intracellular protein transport, and structure and function of cytoskeleton, including cell-cell and cell-substrate interactions. Explores recent advances in the fields of molecular and cell biology.

(Prereq: BIO 311)",4,4,1,2164
267,"BUS"," 640","Digital Business Model Strategies","Analysis of digital systems and technologies to develop viable business models within the context of the strategic needs of the system. Focuses on analysis and assessment of emerging models and strategies, their potentialities and impact on digital commerce (includes impact on business strategy and ethics), and the development of methodological tools for assessment of their success. (In-class, hybrid, or online format).",4,4,1,2164
3441,"SPAN"," 328","Latina Life Stories","Explores intersections of ethnicity, race, gender, sexuality, and class through autobiographical  and testimonial writings by Chicana, Mexican-origin, Puerto Rican, Cuban, Dominican, and mixed-heritage Latinas in the U.S. Students produce multimedia digital stories about their own lives and identities. Offers built-in assessment in HCOM MLO 2 or the concentrations in History, Oral History, and New Media; Chicana/o Latina/o Studies; Comparative American Studies; Women's Studies; or Literature and Film Studies. A literature course from the Literature/ Popular Culture ULR is recommended. (Offered every year in Spring).

(Prereq: GE Area A1 and A2 and A3)",4,4,1,2164
5390,"MSCI"," 340","Marine Ecology","This course will provide an overview of key concepts in marine ecology and familiarize students with local marine ecosystems (rocky shores, kelp beds, estuarine wetlands, and mud flats).  

(Prereq: BIO 210 and BIO 211)",4,4,1,2164
273,"BUS"," 680","Info Tech Strategic Mgmt","Assesses strategic implications of adopting new technologies and enabling transformational change at the enterprise level in our knowledge-based economy.  Covers creating business value through IT, assessing and managing risk, measuring financial value and risk of IT adoption, managing disruptive technologies, managing technology innovation, positioning the CIO in enterprise leadership and strategy management, marketing innovative products in a global economy, and assessing enterprise implications of technology trends. (Offered Spring semester.)",4,4,1,2164
2216,"MATH","  99","Mathematics Review II","A continuation of Math 98 for those students who have not yet satisfied the ELM requirement. Not for baccalaureate credit; however, the course grade (A-F) will show on student transcripts. (6 unit section of MATH 99 is offered only in the spring semesters) (Offered fall, spring, and summer sessions)

(Prereq: MATH 98)",4,4,1,2164
2055,"KIN"," 410","Care/Prevent of Athlet Injury","An introductory course exposing students to the field of athletic training. The role of the athletic trainer is explored in relation to the physician, coach, and athlete. Emphasis is placed on prevention, recognition, and treatment of the more common sports injuries. Topics include injury management, basic evaluation procedures, head and face injuries, spinal injuries, knee injuries, and lower leg, ankle, and foot injuries. (Offered spring semester).",3,3,1,2164
4272,"SBS"," 379","Tattoos, Makeup and Burkas","Tattoos Makeup and Burkas:  This course provides students with an introduction to the western and non-western anthropological literature and film on cultural elements of distinction across cultures of the world.  People all around the world use tattoos, piercing and makeup and dress codes are symbolic tools to represent their ideas of self, gender or as a means of gender, ethnicity, and class control domination.  This course will challenge students to understand this phenomenon as a universal one, and to explore its ethical dimensions, fostering the knowledge, skills, and abilities required for them to recognize, and analyze the ethical problems inherent to symbolic representations of self, gender and power explored in the course.

(Prereq: Junior or Senior Standing)",4,4,1,2164
2526,"MPA"," 302","The Roots Of Pop Culture","",4,4,1,2164
5368,"BIO"," 449","Community Ecology","This course will provide students with an in-depth exploration of concepts examining how species interactions shape the structure and composition of plant and animal communities.  Lecture covers topics on species interactions such as competition, predation, herbivory, and mutualism, as well as principle theories explaining coexistence and species diversity.  Discussion explores classic and modern literature representative of research in the field, with an emphasis on communities in California.

(Prereq:  BIO 340 and STAT 250)",4,4,1,2164
1374,"HCOM"," 245","Introduction to Mexican American Studies","Introduces students to the experiences of Chicana/o communities in the United States and in a transnational context. Students learn about Chicanos/as in relationship to issues of race, ethnicity, citizenship, class, gender, and other social formations. Students are introduced to Chicano/a historical experiences with an emphasis on understanding the struggles and social movements for justice and equality that have been foundational to the development of Chicano/a identities.",4,4,1,2164
5160,"SBS"," 569","Ed for Leadership/ Public Service","Student leaders from each of the 23 California State University campuses examine politics and public service life in politics. Explores theories and strategies to attract thoughtful men and women to lives of public service in politics, to inspire them to a high standard of conduct, and to equip them with the practical skills of self-government.",4,4,1,2164
474,"CST"," 212","Technical Presentations","A written, oral, and visual communications course that emphasizes critical thinking skills combined with reading, writing, oral presentations, and presenting visual information within a technical communications context. Students critically analyze oral and visual presentations and recognize reasonableness, persuasive power, factual accuracy, social context, and ethical considerations in their own work and the work of others.

(Prereq: GE Area A1)",4,4,1,2164
520,"CST"," 337","Computer Architecture","Provides students with the fundamental knowledge of computer architectures, hardware and software components of computer systems, interrelationship among different components. Coverage includes introduction to data representation, CPU, assembly programming, memory systems, input/output devices, pipelining, multi-processing systems, operating systems and network architecture.   (Credit/ No Credit Available)

(Prereq: CST 231 and MATH 170)",4,4,1,2164
5255,"CART"," 280","Animation Visual Development","Introduction to character design, background design, layout, and the storyboarding process for animation pre-production. Through the study of design principles, students will learn how to express their visions through visual language.  (Credit/ No Credit Available)",4,4,1,2164
985,"ENVS"," 282","Mtry Bay:Case Sty Env Sci &Pol","Introduction to the major physical, chemical, biological, and geological features and processes of global oceanography, with emphasis on the Monterey Bay area.  Discusses the human impacts on the region and the state and federal policies in-place that have been designed to protect the Monterey Bay area through the establishment of the Monterey Bay National Marine Sanctuary.  For non-science majors.  (Offered fall and spring semesters.)",4,4,1,2164
247,"BUS"," 478","Internship (Hospitality)","Internship in a hospitality-related organization under the direction of a faculty member. Faculty member helps students clarify internship learning outcomes, potential hotel/resorts sites, and internship agreements. The faculty member mentors throughout the internship. The student must prepare an internship application and an approved learning outcomes proposal before registering. (Offered only as interest warrants; sections may be offered as course-based, hybrid, or online courses.)

[Prereq: (BUS 300 or BUS 300S ) and (BUS 304 and BUS 305 and BUS 306 and BUS 307 and BUS 308 and BUS 310) and (BUS 311 or  BUS 312) and (Junior or Senior Standing)]",4,4,1,2164
2679,"PSY"," 200","Introduction to Research Methods and Data Analysis","Introduction to the design, analysis, and critique of different experimentation methods in psychology.  Students will demonstrate the ability to assess published research and express arguments orally and in writing according to the professional standards, such as the APA Publication Manual.  Students will demonstrate the ability to conduct hypothesis testing using the scientific process and appropriate statistical data analyses. Concurrent enrollment in PSY200L (1 unit) is required. Part of Psychology Major/Minor lower division core.

[(Prereq: PSY 100 and STAT 100) and (Coreq: PSY 200L)]",3,3,1,2164
5261,"VPA"," 325","Curatorial Gallery Practices","This course is an introduction to art gallery management, theory, and 2 and 3-dimensional design principles as they apply to gallery practices. Through hands-on participation, students curate exhibitions in the Student Gallery, and are responsible for all aspects of gallery management and exhibition design and installation: conceptualization of themes, selection of artwork, publicity and graphics. Students  organize exhibition outreach events, such as gallery walk-throughs and panel discussions.",2,4,1,2164
2565,"MPA"," 381","Theatre as Social Action","A lecture/demonstration course featuring vital theatres whose work is engaged in living community interaction; work which serves as a galvanizing agent for social and political activism. Includes guest speakers, video and live presentations of theatrical work. Explores how to entertain, instruct, and catalyze change. Students research, create, and perform their own theatre as social action. (Offered spring semester.)",4,4,1,2164
150,"BIO"," 347","Working with Marine Mammals","Explores current topics and careers working with marine mammals. Topics include practical knowledge of captive marine mammal husbandry (care and maintenance), training, basic physiology, an overview of common research topics and techniques, as well as public display, education, and current issues in marine mammalogy. Students intern at least one day at Moss Landing Marine Labs assisting in the care of research-trained California sea lions. Fee charged for course materials. (Offered summer semester through Extended Education.)

(Prereq: BIO 204 or BIO 240)",3,4,1,2164
272,"BUS"," 670","Database Management","Examines database design and implementation using relational database management system tools. Discusses data management concepts and terminology currently in practice in the business world, including data and database administration, fundamentals of database management systems and models (network, hierarchical and relational), data sharing, retrieval, data dictionaries, data proliferation, data integrity, and queries using SQL. (Offered as interest warrants.)",4,4,1,2164
4664,"NURS"," 330","Research & Evidence-Based Practice in Nursing","Provides basic research and statistical reasoning for understanding current nursing evidence. Students will apply data analysis skills and critical judgment to review the literature. Emphasis will be on the research process to develop nursing inquiry and creation of evidence-based practice.

(Restricted to NURS Majors Only)",4,4,1,2164
2464,"MLML"," 642","Plate Tectonics","MLML 242: Plate Tectonics-  Historical background, modern theory, and geophysical evidence of continental drift, sea floor spreading, and plate tectonics. Examinations of the impact of the recent revolution in historical geology. Offered through Moss Landing Marine Laboratories (MLML); contact SEP program office for MLML registration procedures.

(Prereq: Exclude Freshmen and Sophomore and Junior)",3,3,1,2164
3596,"CART"," 396","Cinematic Arts Internship","Student proposed Internship as part of an approved Individualized Learning Plan.",1,8,1,2164
5369,"BIO"," 549","Community Ecology","This course will provide students with an in-depth exploration of concepts examining how species interactions shape the structure and composition of plant and animal communities.  Lecture covers topics on species interactions such as competition, predation, herbivory, and mutualism, as well as principle theories explaining coexistence and species diversity.  Discussion explores classic and modern literature representative of research in the field, with an emphasis on communities in California.

[(Prereq: ENVS 550) or (Coreq: ENVS 550)]",4,4,1,2164
1934,"JAPN"," 297","Independent Study","Student and faculty member select topic of study and number of credits. (Offered as interest warrants.)",1,6,1,2164
4284,"CST"," 412S","Network Admin in Community","Network Admin in Community:  Introduces management tools, skills, and information to design, implement, and manage telecommunications and data communications networks. Includes network design, monitoring, and security. The impact of democratization of information on society as whole and pockets society without such access will be explored. The inclinations and prejudices leading to overall lack of women and minorities in computer science will be studied; short-term and long term plans to address them will be developed. Students will implement components of their plan by serving at community sites including high schools, community centers and non-profit organizations.  (Credit/ No Credit Available)

(Prereq: CST 311)",6,6,1,2164
2777,"SBS"," 212L","Teaching & Learning Lab","Optional lab for SBS 212, Social and Political Histories of the U.S.  Provides opportunities for students to focus in depth on one or more topics or themes covered in SBS 212.",1,4,1,2164
2541,"MPA"," 332","Voice Training II","Studies intermediate/advanced techniques of vocal production, expressive interpretation, and vocal repertoire from various music styles and periods. Off-campus performances may be required. (Offered as interest warrants.)

(Prereq: MPA 330)",2,2,1,2164
4267,"HDEV"," 380S","Service Learning Human Dev","Service Learning in Human Development:  In this course, students will apply and evaluate HDEV theory to service learning experiences, reflect on their SL experience and site as it applies to their professional development, develop skills in reflective, ethical, strengths- based practices for human development, and strengthen their interpersonal and intrapersonal abilities in their SL experience and area of study. (May be offered as classroom-based, hybrid, or online.)

[Prereq: (Junior or Senior Standing) and (HDEV 305L) and (Coreq: HDEV 400A)]",2,2,1,2164
4271,"SBS"," 333L","Forensic Anthropology Lab","The Forensic Anthropology Lab provides students with a hands-on approach to the study of human skeletal anatomy and forensic methods and approaches. While each lab will focus on hard or skeletal anatomy, both perimortem and post-mortem indications from both hard and soft anatomy will guide our examination of the coldest cases on record.",1,2,1,2164
1507,"HCOM"," 440","Leadership and Community","Explores the dynamics of American social and political structures and the relationship to culture.  Examines the roots of racism, sexism, and classism with a special emphasis on leadership development and community participation.  Offers built-in assessment in HCOM MLO 5 or the concentrations in Comparative American Studies; Practical and Professional Ethics; Women's Studies; Pre-Law; or Peace Studies (Offered occasionally.)

(Prereq: GE Areas A1 and A2 and A3)",4,4,1,2164
5295,"SBS"," 363","Historical Methods","Examination of Historical Methods.  This course immerses students in the ways that Historians develop work in their fields, create a written narrative, use sources, and become professional historians.  Students engage the historical method through research, writing, oral communication, and analysis.   (Offered Every Fall Semester) (Credit/No Credit Available)

(Prereq: GE Area A1 and A2 and A3)",4,4,1,2164
2045,"KIN"," 382","Wilderness Leadership","Focuses on the theoretical and practical aspects of backcountry management.  Readings on historical and modern examples of leadership are a core element. Includes leadership styles, group facilitation, risk management, and minimum impact camping techniques.  (Offered fall semester of odd years).

(Coreq: KIN 382L)",3,3,1,2164
1441,"HCOM"," 339S","Creative Writing and Service Learning","Develops service learning sensitivity, creative writing competency and craft. Students develop original pieces and age-appropriate interdisciplinary creative projects for SL partners in the schools. Offers built-in assessment for HCOM MLO 8, the Concentration in Creative Writing and Social Action, HCOM Service Learning, and the CTC requirement in advanced writing in the classroom. Meets the English Subject Matter Preparation Program field experience requirement.

[Prereq: (Junior or Senior Standing) and (GE Area A1 and GE Area A2)]",6,6,1,2164
2185,"MAE"," 634","Literacy for Linguistically Diverse Learners","Literacy for Linguistically Diverse Learners: Using a sociocultural and politically conscious framework, participants examine theories of teaching and learning, trends in literacy instruction, instructional strategies, and literacy assessment for linguistically diverse classrooms. Students also assess the literacy skills of first- and second-language learners, develop applications for literacy based on culturally relevant pedagogical frameworks, and apply strategies for English language development and SDAIE instruction. Contributes toward English Learner Authorization certification. (Offered fall or spring semester as needed.)",3,3,1,2164
5426,"MPA"," 369","Sound for Screen","In this course, students will explore the creation of sound and music for on-screen media including film, television, video games, web content, and mobile applications.  Students will analyze existing examples of work across various media and create related content.  Students will apply recording and mixing skills to compose scores, create Foley, design original sounds, record ADR, and edit and mix for on-screen media.  Supports the fulfillment of MPA, MLO #6 Technological Skills.  (Credit/No Credit Available)

(Prereq: MPA 306 and MPA 307 and MPA 308)",4,4,1,2164
601,"CST"," 596","Field Studies","Individualizes student placement for field study as related to Information Technology & Communications Design.  Offered as interest warrants.",1,6,1,2164
1979,"KIN"," 134","Self-Defense","A hands-on class that incorporates the four components of self-defense: awareness, avoidance, and verbal and physical techniques. Teaches verbal and physical self-defense skills from a standing position and from the ground. This class focuses on rape-prevention and aims to reduce fear and empower students with skills to defend themselves against physical, verbal and sexual attacks. Credit/no credit.",1,1,1,2164
1383,"HCOM"," 267","US Political Histories","Historical view of the United States through analysis of the changing political process from the Revolutionary War and drafting of the Constitution to the social movements of the 20th century, with emphasis on various struggles for civil rights and liberties as waged in the courts, through direct political participation, and by civil disobedience; provides students an opportunity to apply tools of political action in practice.

(Prereq: GE Area A1)",4,4,1,2164
1457,"HCOM"," 354","Whose America?","Explores struggles over whom and what will be remembered in national and local history by involving students in hands-on research into the past. Covers the culture wars taking place in politics, the media, museums, and state parks across the country. Offers built-in assessment in HCOM MLO 7 or the concentrations in Comparative American Studies; or History, Oral History, and New Media. Meets the Single Subject History/Social Science Waiver in Modern U.S. History. (Offered every year.)

(Prereq: GE Area A1 and A2 and A3)",4,4,1,2164
993,"ENVS"," 295","Special Topics","Studies a particular topic in Environmental Science Technology & Policy. May be repeated for credit when topics vary. (Offered only as interest warrants.)  (Letter Grade Available)

(Prereq: GE Area A1)",1,4,1,2164
4608,"MIT"," 630","Information Technology Project Management","Provides overview of project management with a focus on information technology-related projects. Covers basic project elements such as scope, time, cost, quality, human resources, communications, risk, and procurement. Management skills required to lead a team to successful completion of projects, as well as budget and control aspects of projects, are also discussed. Hands-on practice with industry-level project management software and in-depth case studies are integrated into the course.",4,4,1,2164
151,"BIO"," 348","Tech & Theory of Animal Train","Explores the field of animal training from a psychological and a technical perspective. Provides a theoretical background in relevant animal behavior and psychological principles related to the practical goal of modifying captive animal behavior. Topics include the history and ethics of animal use and training, and practical animal training techniques. Students intern at least one day at Moss Landing Marine Labs assisting in the care and training of research-trained sea lions. Fee charged for course materials. (Offered summer semester through Extended Education.)",3,4,1,2164
5466,"HDEV"," 305L","Fieldwork in HDFS","Fieldwork in Human Development and Family Studies provides supervised practicum placement in an institution, agency, or setting that serves children, youth, or older adults and/or their families.  Students observe and reflect upon their experience working with others and apply their learning in HDFS to their experience. (May be offered as classroom-based, or hybrid.) (Credit/No Credit Available)

(Prereq: Junior or Senior Standing)",2,2,1,2164
4958,"HCOM"," 366","History of Religion in the United States","Introduce students to the history of various religious traditions in the United States, particularly the intersection of religion with nationalism, legal and political institutions, identity formation, and the struggle over the meaning of religion in diverse multicultural communities.  (Credit/ No Credit Available)",4,4,1,2164
500,"CST"," 310","Telecom & Society","Overview of Telecommunications and Data communications technology for the non-specialist. Includes basic communications technology principles and types of networks, historical trends, existing and emerging technologies, social and economic impact, future trends. (Offered every semester.)

(Prereq: Include Sophomore and Junior and Senior)",4,4,1,2164
5145,"CHEM"," 410","Biochemistry II","Covers metabolism and regulation of a variety of biomolecules and transport and signaling pathways.

(Prereq: CHEM 310 or BIO 310)",3,3,1,2164
2163,"LS"," 394S","Multicultural Literature Child & Young Adults Service Learning","Familiarizes students with diverse, quality children's literature across socio-cultural groups. Engages students in interpreting, representations and socio-cultural patterns and symbols found across various authors and literary genres. Introduces students to various pedagogical approaches for the teaching of multicultural literature in K-8 classrooms. Requires completion of 20 approved service learning hours and community projects. (May be offered as classroom-based, hybrid or online.)

[Prereq: (Junior or Senior Standing) and (Coreq: LS 394)]",2,2,1,2164
3711,"VPA"," 285","Intro to Photojournalism","Introduces the use of photography as a tool in reporting and interpreting news for print and digital media.  Students will gain an understanding of the history of photojournalism and the impact of photographic imagery in communication ideas and narratives.",4,4,1,2164
2276,"MATH"," 361S","Mathematics Tutors","Service learning placements in middle or high schools help students deepen their understanding of mathematical principles, techniques, and methodologies for effective instruction. Students also study how issues of social justice and equity affect mathematical literacy and why it is important for everyone to be mathematically literate.

[Prereq: (Junior or Senior Standing) and (MATH 130 and SL 200)]",5,5,1,2164
4620,"MATH"," 374","Mathematical Modeling","The construction of mathematical models to solve real world problems.  Model types include continuous, discrete, deterministic and stochastic.  The entire modeling process from construction of the model, fitting data to the model, analysis of the model including model selection, and verification of the model covered.  Examples from a variety of disciplines including biology, physics, economics and finance.

(Prereq:  MATH 250 or MATH 265)",4,4,1,2164
82,"ASE"," 290","Student Exchange","",0,16,2,2164
1955,"JAPN"," 402","Japanese Literature","This course aims to develop advanced proficiency through introducing various aspects of modern Japanese literature, including short stories and significant works by authors of the modern period. Taught in Japanese. (Credit/No Credit Available) 

(Prereq: JAPN 300 or equivalent)",4,4,1,2164
